FirstName,LastName,SamAccountName,UserPrincipalName,Department,OU,Title,Password,Enabled
finance,director,finance.director,finance.director@lakers.local,Finance,Finance,Finance Staff,LakersLab@2026!,TRUE
accountant01,,accountant01,accountant01@lakers.local,Finance,Finance,Finance Staff,LakersLab@2026!,TRUE
accountant02,,accountant02,accountant02@lakers.local,Finance,Finance,Finance Staff,LakersLab@2026!,TRUE
payroll,specialist,payroll.specialist,payroll.specialist@lakers.local,Finance,Finance,Finance Staff,LakersLab@2026!,TRUE
budget,analyst,budget.analyst,budget.analyst@lakers.local,Finance,Finance,Finance Staff,LakersLab@2026!,TRUE
procurement,manager,procurement.manager,procurement.manager@lakers.local,Finance,Finance,Finance Staff,LakersLab@2026!,TRUE
team,doctor,team.doctor,team.doctor@lakers.local,Medical,Medical,Medical Staff,LakersLab@2026!,TRUE
assistant,doctor,assistant.doctor,assistant.doctor@lakers.local,Medical,Medical,Medical Staff,LakersLab@2026!,TRUE
athletic,trainer01,athletic.trainer01,athletic.trainer01@lakers.local,Medical,Medical,Medical Staff,LakersLab@2026!,TRUE
athletic,trainer02,athletic.trainer02,athletic.trainer02@lakers.local,Medical,Medical,Medical Staff,LakersLab@2026!,TRUE
physical,therapist01,physical.therapist01,physical.therapist01@lakers.local,Medical,Medical,Medical Staff,LakersLab@2026!,TRUE
physical,therapist02,physical.therapist02,physical.therapist02@lakers.local,Medical,Medical,Medical Staff,LakersLab@2026!,TRUE
rehab,specialist,rehab.specialist,rehab.specialist@lakers.local,Medical,Medical,Medical Staff,LakersLab@2026!,TRUE
nutritionist,,nutritionist,nutritionist@lakers.local,Medical,Medical,Medical Staff,LakersLab@2026!,TRUE
media,director,media.director,media.director@lakers.local,Marketing,Marketing,Marketing Staff,LakersLab@2026!,TRUE
social,media01,social.media01,social.media01@lakers.local,Marketing,Marketing,Marketing Staff,LakersLab@2026!,TRUE
social,media02,social.media02,social.media02@lakers.local,Marketing,Marketing,Marketing Staff,LakersLab@2026!,TRUE
content,creator01,content.creator01,content.creator01@lakers.local,Marketing,Marketing,Marketing Staff,LakersLab@2026!,TRUE
content,creator02,content.creator02,content.creator02@lakers.local,Marketing,Marketing,Marketing Staff,LakersLab@2026!,TRUE
brand,manager,brand.manager,brand.manager@lakers.local,Marketing,Marketing,Marketing Staff,LakersLab@2026!,TRUE
marketing,analyst,marketing.analyst,marketing.analyst@lakers.local,Marketing,Marketing,Marketing Staff,LakersLab@2026!,TRUE
public,relations,public.relations,public.relations@lakers.local,Marketing,Marketing,Marketing Staff,LakersLab@2026!,TRUE
it,director,it.director,it.director@lakers.local,IT,IT,IT Staff,LakersLab@2026!,TRUE
it,admin,it.admin,it.admin@lakers.local,IT,IT,IT Staff,LakersLab@2026!,TRUE
identity,admin,identity.admin,identity.admin@lakers.local,IT,IT,IT Staff,LakersLab@2026!,TRUE
security,analyst,security.analyst,security.analyst@lakers.local,IT,IT,IT Staff,LakersLab@2026!,TRUE
cloud,engineer,cloud.engineer,cloud.engineer@lakers.local,IT,IT,IT Staff,LakersLab@2026!,TRUE
network,engineer,network.engineer,network.engineer@lakers.local,IT,IT,IT Staff,LakersLab@2026!,TRUE
systems,engineer,systems.engineer,systems.engineer@lakers.local,IT,IT,IT Staff,LakersLab@2026!,TRUE
helpdesk,tech01,helpdesk.tech01,helpdesk.tech01@lakers.local,Helpdesk,Helpdesk,Helpdesk Technician,LakersLab@2026!,TRUE
helpdesk,tech02,helpdesk.tech02,helpdesk.tech02@lakers.local,Helpdesk,Helpdesk,Helpdesk Technician,LakersLab@2026!,TRUE
helpdesk,tech03,helpdesk.tech03,helpdesk.tech03@lakers.local,Helpdesk,Helpdesk,Helpdesk Technician,LakersLab@2026!,TRUE
desktop,support01,desktop.support01,desktop.support01@lakers.local,Helpdesk,Helpdesk,Helpdesk Technician,LakersLab@2026!,TRUE
desktop,support02,desktop.support02,desktop.support02@lakers.local,Helpdesk,Helpdesk,Helpdesk Technician,LakersLab@2026!,TRUE
it,admin,it.admin,it.admin@lakers.local,Privileged Accounts,Privileged Accounts,Privileged Admin Account,LakersLab@2026!,TRUE
identity,admin,identity.admin,identity.admin@lakers.local,Privileged Accounts,Privileged Accounts,Privileged Admin Account,LakersLab@2026!,TRUE
security,admin,security.admin,security.admin@lakers.local,Privileged Accounts,Privileged Accounts,Privileged Admin Account,LakersLab@2026!,TRUE
